filename,tempo1,zero_crossing_rate_mean,zero_crossing_rate_var,rms_mean,rms_var,y_harm_mean,y_harm_var,y_perc_mean,y_perc_var,spectral_centroid_mean,spectral_centroid_var,rolloff_mean,rolloff_var,chroma_stft_mean,chroma_stft_var,spectral_bandwidth_mean,spectral_bandwidth_var,label,mfcc_mean_1,mfcc_mean_2,mfcc_var_1,mfcc_var_2
000-너의 모든 순간-성시경.mp3,135.99917763157896,0.06305141529454425,0.05907593432389916,0.20693314,0.014392295,4.1418356e-05,0.042217012,0.00015798325,0.0056196563,1478.5669501976226,511317.6600101328,3055.470936052682,2830696.7064794004,0.2666602,0.09036649,1802.6174946735623,273552.27973441186,000-너의 모든 순간-성시경.mp3,0.5335567,0.5182981,0.03348059,0.032177925
001-Monologue-테이(Tei).mp3,78.30255681818181,0.12324755788124829,0.1080575973575567,0.21955645,0.010051907,2.9324874e-06,0.033470556,0.00033086067,0.011100278,2448.858859269898,686172.1142398224,5066.694181442768,2592118.330987247,0.34443128,0.08889249,2412.7100452783334,167487.24735045715,001-Monologue-테이(Tei).mp3,0.5113976,0.50265175,0.02853392,0.027915062
002-혼자서 걸어요 (Prod. by 나얼)-태연 (TAEYEON).mp3,135.99917763157896,0.08135355465193611,0.07473515379743059,0.14501515,0.0063574957,1.7594078e-06,0.020258484,-1.8468525e-06,0.0023052897,2058.578052451308,627262.5439779224,4733.02774123874,4628047.623181981,0.26238394,0.086176835,2402.4090744344207,463610.49367126555,002-혼자서 걸어요 (Prod. by 나얼)-태연 (TAEYEON).mp3,0.49978858,0.5000081,0.031132197,0.034356408
003-Say I Love You-우디(Woody).mp3,135.99917763157896,0.06467565084523046,0.06049271103297634,0.2587242,0.011676974,8.1981925e-06,0.045788836,4.016413e-05,0.015676174,1846.8585534341512,883943.668477281,4357.0884852510035,6049626.489634512,0.2779073,0.092972495,2422.17930472057,630201.7336980513,003-Say I Love You-우디(Woody).mp3,0.5078344,0.52047896,0.031573683,0.024686534
004-그댄 행복에 살텐데 (2022)-최유리.mp3,123.046875,0.06999092376656758,0.06509219435687015,0.18292144,0.009578553,1.5938529e-06,0.028329033,9.967485e-05,0.006010318,2086.7803152380334,904605.9733911266,5043.194386250264,6355687.87807298,0.2701012,0.08858386,2555.3234535154193,655405.7127393744,004-그댄 행복에 살텐데 (2022)-최유리.mp3,0.48559657,0.49980053,0.032763146,0.029747333
005-해요 (2022)-#안녕.mp3,143.5546875,0.06775752464600825,0.06316644249985381,0.20741719,0.01418452,3.139638e-05,0.03918291,0.0002238905,0.006864966,1720.2358769882396,558940.8108044316,3459.3579018238056,2620635.8744819215,0.28830278,0.092579804,2099.118563676513,201396.42947960668,005-해요 (2022)-#안녕.mp3,0.5253041,0.5137326,0.029718349,0.030092312
006-마지막 사랑-신예영.mp3,135.99917763157896,0.07927933933883884,0.07299412569283607,0.202796,0.014638378,1.56111e-05,0.036918093,-0.00017594735,0.007351253,1925.4680373907916,654865.2454167191,4107.117031390739,3459703.460870902,0.2647031,0.08862495,2301.8520293473516,307720.33629762026,006-마지막 사랑-신예영.mp3,0.4906921,0.50115424,0.03361633,0.031145012
007-다정히 내 이름을 부르면-경서예지.mp3,143.5546875,0.097625450070644,0.08809472156914833,0.25313005,0.011169638,2.7409073e-05,0.053946562,9.127245e-05,0.007627344,2204.77869136378,892493.1425794343,4904.753450429113,5075875.09763847,0.253395,0.08851977,2327.369362285395,645964.0729404488,007-다정히 내 이름을 부르면-경서예지.mp3,0.506871,0.5026722,0.02987519,0.026359813
008-그때 그 순간 그대로 (그그그)-WSG워너비 (가야G).mp3,117.45383522727273,0.12170105230602908,0.10688990617363425,0.22195736,0.017250052,7.5099674e-06,0.042180315,-5.47905e-05,0.009045596,2696.3560242716344,887586.4240770894,6139.837972351387,3693198.378843367,0.33096582,0.089745164,2762.4979976718064,247709.83235744585,008-그때 그 순간 그대로 (그그그)-WSG워너비 (가야G).mp3,0.5143451,0.5075474,0.027274484,0.027484478
"009-모든 날, 모든 순간 (Every day, Every Moment)-폴킴(Paul Kim).mp3",66.25600961538461,0.04797114998872239,0.04566991875748188,0.10449381,0.002533885,-3.5623043e-06,0.009447872,-7.495481e-05,0.001301611,1296.0551861700985,723872.6974591903,2664.4343201188017,4164212.6933955597,0.30414692,0.087711304,1789.307588405271,502356.59033625666,"009-모든 날, 모든 순간 (Every day, Every Moment)-폴킴(Paul Kim).mp3",0.52102673,0.51971763,0.030273272,0.032578092
010-취중고백-김민석 (멜로망스).mp3,123.046875,0.06687266023454619,0.06240070754770112,0.17439641,0.01109697,4.2370284e-05,0.028268598,0.0004455084,0.004878971,1747.135554887092,684114.0905036423,3686.0230183337826,3358522.2918152297,0.29795983,0.09309708,2155.0961090112087,298157.94290956185,010-취중고백-김민석 (멜로망스).mp3,0.50365037,0.501485,0.028472925,0.028310796
011-나의 X에게-경서.mp3,95.703125,0.09459860623311367,0.08564970993186605,0.28894228,0.01752184,-0.00033151597,0.06945723,-0.001211543,0.012758862,2156.5293043081183,938879.5229846177,4675.692822243521,4628398.667034241,0.2655544,0.09098408,2331.9068314279893,549375.8065471123,011-나의 X에게-경서.mp3,0.4932889,0.5171825,0.028302753,0.03171459
012-사랑은 늘 도망가-임영웅.mp3,135.99917763157896,0.0761324313049449,0.07033628420854271,0.21116664,0.019708548,-0.0001567642,0.043927826,-0.00073216273,0.007825314,1789.6448297905656,918646.2221229207,3753.972803944371,4058946.1699455134,0.296619,0.09182675,2062.4081753953146,382338.6401814212,012-사랑은 늘 도망가-임영웅.mp3,0.52270794,0.4943526,0.032135174,0.029867975
013-내가 아니라도-주호.mp3,135.99917763157896,0.09358601656195495,0.08482767406602046,0.20823331,0.0149867255,8.607598e-06,0.04058009,0.00012437411,0.007226973,2346.518016478826,1388072.4149170876,5238.120730594987,5855285.6310207555,0.31829217,0.09375822,2437.1084660084452,625274.7847367814,013-내가 아니라도-주호.mp3,0.47813588,0.49657652,0.030909158,0.029560028
014-드라마-아이유(IU).mp3,107.666015625,0.07530030192063732,0.06963016645129814,0.20126812,0.008868939,8.321392e-05,0.03930864,0.00021391576,0.0037116993,1864.26557918644,903159.239021991,3981.1161465412356,5033993.249723279,0.2280386,0.0849134,2194.957838793574,547580.8745848279,014-드라마-아이유(IU).mp3,0.49980718,0.50312734,0.03260172,0.036039773
015-우린 그렇게 사랑해서-강민경.mp3,129.19921875,0.06520781120809438,0.06095575256554382,0.2078937,0.01183762,2.1762247e-05,0.04145015,0.0002072275,0.00446763,1725.0259046527858,590300.8797457374,3782.299245411382,3886128.766027454,0.2743542,0.08663253,2173.493145664074,429216.3471763979,015-우린 그렇게 사랑해서-강민경.mp3,0.510537,0.48583853,0.028958507,0.031564124
016-그대를 알고-송하예.mp3,129.19921875,0.08851201099895402,0.08067763490787519,0.21399847,0.015970731,-3.003385e-05,0.04059544,-0.00021984389,0.0091133425,1945.0607230536395,792113.3706392813,3955.5416789859287,3299979.61949153,0.2634382,0.09179453,2172.2904889781385,265789.705684053,016-그대를 알고-송하예.mp3,0.49447775,0.51649755,0.02944763,0.028885799
017-잘가요-주호.mp3,135.99917763157896,0.09740681451926454,0.0879187270044741,0.18927844,0.010850865,1.7878961e-05,0.03127564,0.000100630474,0.00638418,2246.9325008969695,843642.3231148795,5055.961998526308,4112669.4560113535,0.298757,0.091596164,2406.9513357067194,339056.16447300377,017-잘가요-주호.mp3,0.5195598,0.5295891,0.029111147,0.03201217
018-떠나보낼 준비해 둘걸 그랬어-임한별.mp3,129.19921875,0.08249136564497044,0.0756865402389982,0.21863389,0.016254127,-1.1097576e-05,0.04266652,-0.00011141621,0.0075103464,2115.5242518288374,782066.0763944518,5100.821591877015,5356038.827432444,0.2914132,0.09354367,2554.11775438128,442602.2417115987,018-떠나보낼 준비해 둘걸 그랬어-임한별.mp3,0.49076974,0.49689323,0.030749014,0.028699027
019-팡파레-다비치.mp3,99.38401442307692,0.10766777086818485,0.09607542198446091,0.28939086,0.0076864427,-1.4869203e-06,0.055472128,-0.00029490626,0.013807194,2440.1688255918903,530875.6772346803,5394.7276834295635,2876445.92227918,0.30378956,0.09011807,2639.6078076111157,174964.2864970684,019-팡파레-다비치.mp3,0.49469906,0.53205407,0.030067597,0.02883461
020-니 번호가 뜨는 일-이예준.mp3,135.99917763157896,0.10025925588584102,0.09020733749505849,0.1973729,0.013196781,-2.5361624e-05,0.03414816,-0.00046250902,0.007288027,2071.1664734902433,761604.2999134903,4240.539012080419,3466458.978296919,0.28370297,0.09070986,2231.8591110139882,316059.53365553246,020-니 번호가 뜨는 일-이예준.mp3,0.52006596,0.49385196,0.029807568,0.028121073
021-아픈 나를 (Prod. By 나얼)-성시경.mp3,135.99917763157896,0.07897597748103882,0.07273877246195325,0.19979599,0.013056162,-4.558294e-06,0.03576761,6.6170223e-06,0.005628829,1898.2418131308439,608246.6368990771,4148.945546598338,3497593.8442921615,0.2805011,0.08768669,2252.325798075171,282797.80632255913,021-아픈 나를 (Prod. By 나얼)-성시경.mp3,0.49472797,0.5304728,0.027236976,0.028118946
022-Christmas Tree-V.mp3,143.5546875,0.056899117523229105,0.053661607948306864,0.22411172,0.013143204,7.4248244e-05,0.048791587,6.319104e-05,0.004357215,1523.3441735221334,1104044.4156775237,3216.4300153482154,5041498.232949671,0.28101462,0.09330413,1900.629900163614,595288.2752454416,022-Christmas Tree-V.mp3,0.49044162,0.48839203,0.03559666,0.031812213
023-눈이 오잖아(Feat.헤이즈)-이무진.mp3,95.703125,0.0703141446008633,0.06537006566991216,0.18826589,0.012753851,-8.75207e-06,0.031893082,3.5050555e-06,0.0061284816,1889.5752866344644,651408.7014024673,4342.544933945263,4167894.3868869734,0.3156172,0.0909116,2388.5222669389445,331102.79852447234,023-눈이 오잖아(Feat.헤이즈)-이무진.mp3,0.5028117,0.5022249,0.029612226,0.027838707
024-사랑해도 될까요-양다일.mp3,129.19921875,0.0746784570097152,0.06910158506836339,0.18836045,0.013284617,3.6611323e-06,0.033128418,0.00012669333,0.005165659,1895.553346664316,635790.0362576939,4201.179773746949,3545400.8451957316,0.2660009,0.089905955,2197.268751183574,360679.01788049267,024-사랑해도 될까요-양다일.mp3,0.5182655,0.5266784,0.031855687,0.028491013
